reference_id	shortcitation	fullcitation
671345	Tendick et al. 2011a	Tendick, A., B. Friesen, G. Kittel, P. Williams, J. Coles, A. Wight, G. Wakefield, and A. Evenden. 2011a. Vegetation classification and mapping project report, Cedar Breaks National Monument. Natural Resource Technical Report NPS/NCPN/NRTR--2011/470. National Park Service, Fort Collins, CO.
179001	Cooper et al. 1985	Cooper, S., K. Neiman, and R. Steele. 1985. Forest habitat types of northern Idaho. Editorial draft. Unpublished report prepared for USDA Forest Service, Intermountain Forest and Range Experiment Station, and Region One, Missoula, MT. 295 pp.
183775	Daubenmire 1952	Daubenmire, R. 1952. Forest vegetation of northern Idaho and adjacent Washington, and its bearing on concepts of vegetation classification. Ecological Monographs 22(4):301-330.
505293	Hawk 1973	Hawk, G. M. 1973. Forest vegetation and soils of terraces and floodplains along the Mckenzie River, Oregon. M.S. thesis, Oregon State University, Corvallis. 188 pp.
191589	Grace and Wetzel 1981	Grace, J. B., and R. G. Wetzel. 1981. Habitat partitioning and competitive displacement in cattail (Typha): Experimental field studies. The American Midland Naturalist 118:463-474.
197450	McCoy 1958	McCoy, D. A. 1958. Vascular plants of Pontotoc County, Oklahoma. American Midland Naturalist 59:371-396.
175915	Youtie and Winward 1977	Youtie, B. A., and A. H. Winward. 1977. Plants and plant communities of the John Day Fossil Beds National Monument. Unpublished report to USDI National Park Service, John Day. 71 pp.
193759	Harlan 1957	Harlan, J. R. 1957. Grasslands of Oklahoma. Oklahoma State University, Stillwater.
196085	Fleming pers. comm.	Fleming, Gary P. Personal communication. Ecologist, Virginia Department of Conservation and Recreation, Division of Natural Heritage, Richmond, VA.
177527	Ungar et al. 1969	Ungar, I. A., W. Hogan, and M. McClennand. 1969. Plant communities of saline soils at Lincoln, Nebraska. The American Midland Naturalist 82(2):564-577.
188065	Weaver and Albertson 1956	Weaver, J. E., and F. W. Albertson. 1956. Grasslands of the Great Plains: Their nature and use. Johnsen Publishing Co., Lincoln, NE. 395 pp.
192268	Vestal 1914	Vestal, A. G. 1914. Prairie vegetation of a mountain-front area in Colorado. Botanical Gazette 58(5):377-400.
192440	Ungar 1967	Ungar, I. A. 1967. Vegetation-soil relationships on saline soils in northern Kansas. The American Midland Naturalist 78(1):98-121.
720298	Christy 2013	Christy, J. A. 2013. Wet meadow plant associations, Malheur National Wildlife Refuge, Harney County, Oregon. Oregon Biodiversity Information Center, Institute for Natural Resources, Portland State University, Portland.
761503	HDR 2014	HDR. 2014. Vegetation classification and mapping, Naval Base Ventura County, San Nicolas Island, California. Unpublished report prepared by HDR for Naval Facilities Engineering Command Southwest, San Diego, CA.
189717	Pierce 1986	Pierce, J. R. 1986. Wetland community types of west-central Montana. Unpublished draft report prepared for the USDA Forest Service, Region One, Missoula, MT. 57 pp.
185278	Riegel et al. 1992	Riegel, G. M., B. G. Smith, and J. F. Franklin. 1992. Foothill oak woodlands of the interior valleys of southwestern Oregon. Northwest Science 66(2):66-76.
198294	Williams 1961	Williams, C. 1961. Distribution of vegetation in the Wind River Canyon, Wyoming. Wyoming Range Management 150:1-2.
469348	Lippert and Jameson 1964	Lippert, B. E., and D. L. Jameson. 1964. Plant succession in temporary ponds of the Willamette Valley, Oregon. American Midland Naturalist 71:181-197.
176314	Lindsay 1976	Lindsay, M. 1976. History of the grassy balds of Great Smoky Mountains National Park. USDI National Park Service, Uplands Field Research Lab. Research/Resources Management Report No. 4. Gatlinburg, TN. 215 pp.
181534	Lindsay and Bratton 1979a	Lindsay, M. M., and S. P. Bratton. 1979a. Grassy balds of the Great Smoky Mountains: Their history and flora in relation to potential management. Environmental Management 3:417-430.
195527	Lindsay 1978	Lindsay, M. 1978. The vegetation of the grassy balds and other high elevation disturbed areas in the Great Smoky Mountains National Park. USDI National Park Service, Southeast Region. Uplands Field Research Laboratory. Research/Resources Management Report SER-26. Atlanta, GA. 150 pp.
707498	Schotz et al. 2006	Schotz, A., M. Hall, and R. D. White, Jr. 2006. Vascular plant inventory and ecological community classification for Russell Cave National Monument. NatureServe, Durham, NC. 108 pp.
192574	Volland 1976	Volland, L. A. 1976. Plant communities of the central Oregon pumice zone. USDA Forest Service R-6 Area Guide 4-2. Pacific Northwest Region, Portland, OR. 113 pp.
198172	Szaro 1989	Szaro, R. C. 1989. Riparian forest and scrubland community types of Arizona and New Mexico. Desert Plants Special Issue 9(3-4):70-139.
464506	MacKenzie and Moran 2004	MacKenzie, W. H., and J. R. Moran. 2004. Wetlands of British Columbia: A guide to identification. Land Management Handbook No. 52. Research Branch, British Columbia Ministry of Forests and Lands, Victoria, BC. 287 pp.
659459	Hop et al. 2009	Hop, K., S. Lubinski, J. Dieck, J. Drake, and S. Menard. 2009. National Park Service Vegetation Inventory Program: Indiana Dunes National Lakeshore, Indiana. USDI U.S. Geological Survey, La Crosse, WI, and NatureServe, St. Paul, MN. 312 pp.
488934	McCain and Diaz 2002a	McCain, C., and N. M. Diaz. 2002a. Field guide to the forested plant associations of the northern Oregon Coast Range. Siuslaw National Forest, USFS; Salem District, BLM; Eugene District, BLM. Technical Paper R6-NR-ECOL-TP-03-02. USDA Forest Service, Pacific Northwest Region, Portland, OR. 250 pp.
377436	Hansen et al. 2004b	Hansen, M., J. Coles, K. A. Thomas, D. Cogan, M. Reid, J. Von Loh, and K. Schulz. 2004b. USGS-NPS Vegetation Mapping Program: Wupatki National Monument, Arizona, vegetation classification and distribution. U.S. Geological Survey Technical Report. Southwest Biological Science Center, Flagstaff, AZ. 229 pp.
180462	Hall and Hansen 1997	Hall, J. B., and P. L. Hansen. 1997. A preliminary riparian habitat type classification system for the Bureau of Land Management districts in southern and eastern Idaho. Riparian and Wetland Research Program, School of Forestry, University of Montana. Idaho Bureau of Land Management, Technical Bulletin No. 97-11. 381 pp.
191046	Sperduto et al. 2000a	Sperduto, D. D., W. F. Nichols, and N. Cleavitt. 2000a. Bogs and fens of New Hampshire. New Hampshire Natural Heritage Inventory, Concord, NH.
194762	Damman and French 1987	Damman, A. W. H., and T. W. French. 1987. The ecology of peat bogs of the glaciated northeastern United States: A community profile. USDI Fish & Wildlife Service Biological Report 85(7.16). 100 pp.
178531	Walker 1962	Walker, R. B. 1962. Comparison of a wide south-facing and a narrow north-facing canyon. Pages 103-119 in: Ecological studies of the flora & fauna of the Curecanti Reservoir basins, western Colorado. University of Utah Anthropology Papers 59 (Upper Colorado Series 8).
667323	Thomas et al. 2010	Thomas, K. A., M. L. McTeague, L. Ogden, K. Schulz, T. Fancher, R. Waltermire, and A. Cully. 2010. Vegetation classification and distribution mapping report: Canyon de Chelly National Monument. National Resource Technical Report NPS/SCPN/NRTR-2010/306. National Park Service, Fort Collins, CO. 338 pp.
180884	Collins 1984	Collins, E. I. 1984. Preliminary classification of Wyoming plant communities. Unpublished classification prepared for the Wyoming Natural Heritage Program, The Nature Conservancy, Laramie, WY.
659458	Von Loh et al. 2008	Von Loh, J., G. Wakefield, A. Wight, A. Evenden, and J. Coles. 2008. Vegetation classification and mapping project report, Hovenweep National Monument. Natural Resource Report NPS/NCPN/NRTR--2008/092. National Park Service, Fort Collins, CO. 328 pp.
183137	Tueller et al. 1966	Tueller, P. T., D. H. Heinze, and R. E. Eckert. 1966. A tentative list of existing Nevada plant communities (A third approximation). Unpublished report prepared for the Department of Range Wildlife and Forestry, University of Nevada, Reno. 14 pp.
175786	Bray 1904	Bray, W. L. 1904. The timber of the Edwards Plateau of Texas: Its relation to climate, water supply, and soil. USDA Bureau of Forestry, Bulletin No. 49.
186554	Madany and West 1984	Madany, M. H., and N. E. West. 1984. Vegetation of two relict mesas in Zion National Park. Journal of Range Management 37(5):456-461.
198694	Reid and Love 1951	Reid, E. H., and L. D. Love. 1951. Range-watershed conditions and recommendations for management, Elk Ridge and Lower Elk Ridge cattle allotments, Roosevelt National Forest, Colorado. Unpublished report prepared for USDA Forest Service. 123 pp.
505300	Titus et al. 1998	Titus, J. H., M. Kerr, E. Crowe, and B. Kovalchik. 1998. Riparian zones of eastern Oregon. Oregon Natural Heritage Program, Portland.
178838	Lewis 1975a	Lewis, M. E. 1975a. Plant communities of the Jarbidge Mountain Complex, Humboldt National Forest. Unpublished report compiled for USDA Forest Service, Region IV, Ogden, UT. 22 pp.
178612	Fleming and Moorhead 1996	Fleming, G. P., and W. H. Moorhead, III. 1996. Ecological land units of the Laurel Fork Area, Highland County, Virginia. Natural Heritage Technical Report 96-08. Virginia Department of Conservation and Recreation, Division of Natural Heritage, Richmond. 114 pp. plus appendices.
619517	Klein et al. 2007	Klein, A., J. Crawford, J. Evens, T. Keeler-Wolf, and D. Hickson. 2007. Classification of the vegetation alliances and associations of the northern Sierra Nevada foothills, California. Volumes 1 and 2. Report prepared for California Department of Fish and Game, Habitat Conservation Division. California Native Plant Society, Sacramento, CA. [https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=18232&inline=1]
759540	Odion et al. 2013	Odion, D. C., D. A. DiPaolo, L. C. Groshong, D. A. Sarr, and S. Mohren. 2013. Vegetation Inventory Project: Oregon Caves National Monument and proposed expansion area. Natural Resource Technical Report NPS/ORCA/NRTR--2013/782. National Park Service, Fort Collins, CO. 272 pp.
753693	Neubauer 2013	Neubauer, S. C. 2013. Ecosystem responses of a tidal freshwater marsh experiencing saltwater intrusion and altered hydrology. Estuaries and Coasts 36:491-507.
182977	Foti 1994a	Foti, T. 1994a. Natural communities of Arkansas (terrestrial and palustrine). Unpublished document. Arkansas Natural Heritage Commission, Little Rock. 2 pp.
188166	Wardle 1968	Wardle, P. 1968. Engelmann spruce (Picea engelmannii Engel.) at its upper limits on the Front Range, Colorado. Ecology 49:483-495.
186617	Barbour and Major 1988	Barbour, M. G., and J. Major, editors. 1988. Terrestrial vegetation of California: New expanded edition. California Native Plant Society, Special Publication 9, Sacramento. 1030 pp.
175357	Henderson and Peter 1984	Henderson, J. A., and D. Peter. 1984. Preliminary plant associations and habitat types of the Darrington Ranger District, Mt. Baker-Snoqualmie National Forest. USDA Forest Service, Pacific Northwest Region. 69 pp.
185807	Govus pers. comm.	Govus, Tom. Personal communication. Ecologist. Ellijay, GA.
195889	Kemp 1965	Kemp, K. 1965. A study of litter and vegetation on the upper chaparral area of central Arizona. Unpublished thesis, University of Arizona, Tucson. 79 pp.
621271	Young et al. 2006	Young, J., G. Fleming, P. Townsend, and J. Foster. 2006. Vegetation of Shenandoah National Park in relation to environmental gradients. Final Report (v.1.1). Research technical report prepared for USDI, National Park Service. USGS/NPS Vegetation Mapping Program. 92 pp. plus appendices.
469362	Taylor and Frenkel 1979	Taylor, A. H., and R. E. Frenkel. 1979. Ecological inventory of Joe Ney Slough marsh restoration site. Part 2. Tideland mitigation requirements in the Oregon estuarine resources planning goal: a study of the proposed North Bend, Oregon airport extension. Oregon Department of Land Conservation and Development. 123 pp.
199251	NJNHP unpubl. data	NJNHP [New Jersey Natural Heritage Program]. No date. Unpublished data. New Jersey Natural Heritage Program, Office of Lands Management, Trenton, NJ.
200487	Tuhy 1981	Tuhy, J. S. 1981. Stream bottom community classification for the Sawtooth Valley, Idaho. Unpublished thesis, University of Idaho, Moscow. 230 pp.
200819	Anderson 1996	Anderson, D. M. 1996. The vegetation of Ohio: Two centuries of change. Draft. Ohio Biological Survey.
182359	Barber 1974	Barber, S. C. 1974. A floristic study of the vascular plants of the gypsum hills and redbed plains area of southwestern Oklahoma. Unpublished M.S. thesis, Oklahoma State University, Stillwater.
508142	Windisch 1993	Windisch, A. G. 1993. Natural community inventory of Picatinny Arsenal, New Jersey. Unpublished report prepared for Picatinny Arsenal, U.S. Department of Defense. The Nature Conservancy, Eastern Heritage Task Force, Trenton, NJ.
671257	Sneddon et al. 2008	Sneddon, L., R. E. Zaremba, E. Largay, G. Podniesinski, S. Perles, and J. Thompson. 2008. Vegetation classification and mapping of Morristown National Historical Park, New Jersey. Technical Report NPS/NER/NRTR--2008/116. National Park Service, Philadelphia, PA. 162 pp. [http://biology.usgs.gov/npsveg/morr/morrrpt.pdf]
186920	Kantak 1995	Kantak, G. E. 1995. Terrestrial plant communities of the middle Niobrara Valley, Nebraska. The Southwestern Naturalist 40:129-138.
469336	Christy 1979	Christy, J. A. 1979. Report on a preliminary survey of Sphagnum-containing wetlands on the Oregon Coast. Oregon Natural Area Preserves Advisory Committee. Oregon State Land Board, Salem. 92 pp.
194302	Boggs et al. 1990	Boggs, K., P. Hansen, R. Pfister, and J. Joy. 1990. Classification and management of riparian and wetland sites in northwestern Montana. Draft version I. Report prepared for the Montana Riparian Association and Montana Forest and Conservation Experiment Station, School of Forestry, University of Montana, Missoula. 216 pp.
503959	Streatfield and Frenkel 1997	Streatfield, R., and R. E. Frenkel. 1997. Ecological survey and interpretation of the Willamette Floodplain Research Natural Area, W.L. Finley National Wildlife Refuge, Oregon, USA.
621125	Sieren 1984	Sieren, D. J. 1984. A floristic study of the vascular plants on 11.77 acres of Moores Creek National Battlefield. Prepared under Purchase Order Number PX-5550-3-0062 for the USDI, National Park Service, Southeast Regional Office, Atlanta, GA.
182237	Johnson et al. 1990b	Johnson, A. F., J. W. Muller, and K. A. Bettinger. 1990b. An assessment of Florida's remaining coastal upland natural communities: Southeast Florida. The Nature Conservancy, Florida Natural Areas Inventory, Tallahassee. 10 pp. plus appendices.
198812	Hatchell 1964	Hatchell, G. E. 1964. Small mammal species and populations in the loblolly-shortleaf pine forest type of Louisiana. Research Paper SO-10. USDA Forest Service, Southern Forest Experiment Station, New Orleans, LA. 12 pp.
178708	Windisch 1995b	Windisch, A. G. 1995b. Natural community inventory of Fort Dix, New Jersey. The Nature Conservancy report. New Jersey Natural Heritage Program, Office of Natural Lands Management. Trenton, NJ. 81 pp.
199568	Hoffman and Alexander 1983	Hoffman, G. R., and R. R. Alexander. 1983. Forest vegetation of the White River National Forest in western Colorado: A habitat type classification. Research Paper RM-249. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO. 36 pp.
382850	Alexander et al. 1986	Alexander, R. R., G. R. Hoffman, and J. M. Wirsing. 1986. Forest vegetation of the Medicine Bow National Forest in southeastern Wyoming: A habitat type classification. Research Paper No. RM-271. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO.
199010	Frelich 1992	Frelich, L. E. 1992. The relationship of natural disturbances to white pine stand development. Presented at the White Pine Symposium: History, Ecology, Policy and Management, Duluth, MN. September 16-18, 1992.
624965	Judziewicz and Koch 1993	Judziewicz, E. J., and R. G. Koch. 1993. Flora and vegetation of the Apostle Islands National Lakeshore and Madeline Island, Ashland and Bayfield counties, Wisconsin. Michigan Botanist 32:43-189.
176331	Van Devender and Everitt 1977	Van Devender, T. R., and B. L. Everitt. 1977. The latest Pleistocene and recent vegetation of the Bishop's Cap, south central New Mexico. Southwestern Naturalist 22:337-352.
186012	Rollins 1997	Rollins, S. C. 1997. Calcareous glade communities in the Central Basin of Tennessee: The effects of scale on community classification. M.S. thesis, University of North Carolina, Chapel Hill. 142 pp.
671263	TNC 1998f	TNC [The Nature Conservancy]. [1998] f. USGS-NPS Vegetation Mapping Program: Classification of the vegetation of Devils Tower National Monument. The Nature Conservancy, Midwest Regional Office, Minneapolis, MN, and International Headquarters, Arlington, VA. 28 pp.
190729	Homoya 1994	Homoya, M. A. 1994. Indiana barrens: Classification and description. Castanea 59(3):204-213.
195020	Heikens and Robertson 1994	Heikens, A. L., and P. A. Robertson. 1994. Barrens of the Midwest: A review of the literature. Castanea 59(3):184-194.
197768	Heikens et al. 1994	Heikens, A. L., K. A. West, and P. A. Robertson. 1994. Short-term response of chert and shale barrens vegetation to fire in southwestern Illinois. Castanea 59(3):274-285.
200406	Campbell et al. 1996	Campbell, J. J. N., S. Walker, and D. Zollner. 1996. Technical assessment to: An ecological assessment of forest lands in Arkansas and Oklahoma proposed for inclusion into the Ouachita National Forest and Cossatot National Wildlife Refuge. Unpublished report by The Nature Conservancy. 114 pp.
199722	Gregory 1983	Gregory, S. 1983. Subalpine forb community types of the Bridger-Teton National Forest, Wyoming. Unpublished completion report #36 for USDA Forest Service Cooperative Education Agreement (contract 40-8555-3-115). Bozeman, MT 63 pp.
659468	Patterson 2008f	Patterson, K. D. 2008f. Vegetation classification and mapping at Richmond National Battlefield Park, Virginia. Technical Report NPS/NER/NRTR--2008/128. National Park Service. Philadelphia, PA. 244 pp.
189227	Holland 1986a	Holland, R. F. 1986a. Notes on occurrences in California. Unpublished report on file at California Natural Diversity Database.
178759	Thilenius and Brown 1990	Thilenius, J. F., and G. R. Brown. 1990. Vegetation on semi-arid rangelands, Cheyenne River Basin, Wyoming. Unpublished report prepared for USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Laramie, WY. 147 pp.
193833	Mohr 1897	Mohr, C. 1897. The timber pines of the southern United States. U.S. Department of Agriculture Bulletin No. 13, revised edition. 176 pp.
178987	Copeland 1979	Copeland, W. N. 1979. Harney Lake RNA Guidebook, Supplement #9. USDA Forest Service Experiment Station, Portland, OR.
177590	McLaughlin et al. 1987	McLaughlin, S. B., D. J. Downing, T. J. Blasing, E. R. Cook, and H. S. Adams. 1987. An analysis of climate and competition as contributors to decline of red spruce in high elevation Appalachian forests of the eastern United States. Oecologia 72:487-501.
191533	White and Cogbill 1992	White, P. S., and C. V. Cogbill. 1992. Spruce-fir forests in eastern North America. Page 3-39 in: C. Eagar and M. B. Adams, editors. Ecology and decline of red spruce in the eastern United States. Springer-Verlag, New York.
194861	White 1984a	White, P. 1984a. Impacts of cultural and historic resources on natural diversity: Lessons from Great Smoky Mountains National Park, North Carolina and Tennessee. Pages 119-132 in: J. L. Cooley and J. H. Cooley, editors. 1984. Natural diversity in forest ecosystems. Proceedings of a workshop. University of Georgia, Institute of Ecology, Athens. 282 pp.
195778	Davis 1930	Davis, J. H., Jr. 1930. Vegetation of the Black Mountains of North Carolina: An ecological study. Journal of the Elisha Mitchell Scientific Society 45:291-318.
200458	McLeod 1988	McLeod, D. E. 1988. Vegetation patterns, floristics, and environmental relationships in the Black and Craggy mountains of North Carolina. Ph.D. dissertation, University of North Carolina, Chapel Hill. 222 pp.
677448	CNPS 2001	CNPS [California Native Plant Society]. 2001. Inventory of rare and endangered plants of California (sixth edition). D. P. Tibor, convening editor, Rare Plant Scientific Advisory Committee. California Native Plant Society, Sacramento, CA. 388 pp.
177076	Lesica and DeVelice 1992	Lesica, P., and R. L. DeVelice. 1992. Plant communities of the Pryor Mountains. Preliminary report prepared by the Montana Natural Heritage Program, Helena, MT.
513768	NRCS 2001b	NRCS [Natural Resources Conservation Service]. 2001b. Soil survey of Gateway National Recreation Area, New York and New Jersey. USDA Natural Resources Conservation Service and USDI National Park Service, Gateway National Recreation Area in partnership with Cornell University Agricultural Experiment Station and New York City Soil and Water Conservation District.
193456	Charlet pers. comm.	Charlet, D. Personal communication. Ecologist.
182983	Whigham 1969	Whigham, D. F. 1969. Vegetation patterns on the north slopes of Bluff Mountain, Ashe County, North Carolina. Journal of the Elisha Mitchell Scientific Society 85:1-15.
188986	Rohrer 1983	Rohrer, J. R. 1983. Vegetation pattern and rock type in the flora of the Hanging Rock Area, North Carolina. Castanea 48:189-205.
187521	Swinehart and Parker 2000	Swinehart, A. L., and G. R. Parker. 2000. Paleoecology and development of peatlands in Indiana. The American Midland Naturalist 143:267-297.
199435	Conant and Collins 1991	Conant, R., and J. T. Collins. 1991. A field guide to reptiles and amphibians: Eastern and central North America. Third edition. The Peterson Field Guide Series No. 12. Houghton Mifflin Company, New York. 450 pp. plus color plates.
190629	Mohlenbrock 1986	Mohlenbrock, R. H. 1986. Guide to the vascular flora of Illinois. Southern Illinois University Press, Carbondale. 507 pp.
191559	TNC and NCNHP 1993	TNC and NCNHP [The Nature Conservancy and North Carolina Natural Heritage Program]. 1993. Rare and endangered plant survey and natural area inventory for Fort Bragg and Camp MacKall military reservations, North Carolina. Unpublished report by M. J. Russo, B. A. Sorrie, B. van Eerden, and T. Hippensteel, The Nature Conservancy and North Carolina Division of Parks and Recreation, Department of Environment, Health, and Natural Resources, Raleigh, NC.
180119	McClain 1986	McClain, W. E. 1986. Illinois prairie: Past and future. A restoration guide. Illinois Department of Natural Heritage. 27 pp.
182374	Freckmann 1966	Freckmann, R. W. 1966. The prairie remnants of the Ames area. Proceedings of the Iowa Academy of Science 73:126-136.
379747	Campbell 1973	Campbell, A. G. 1973. Vegetative ecology of Hunts Cove, Mt. Jefferson, OR. M.S. thesis, Oregon State University, Corvallis. 89 pp.
201148	Miller 1964	Miller, P. C. 1964. Factors influencing the vegetation pattern on the White River Plateau in northwestern Colorado. Unpublished dissertation, University of Colorado, Boulder. 208 pp.
198105	Johnson and Billings 1962	Johnson, P. L., and W. D. Billings. 1962. The alpine vegetation of the Beartooth Plateau in relation to cryopedogenic processes and patterns. Ecological Monographs 32(2):105-133.
176602	USFS 1985b	USFS [U.S. Forest Service]. 1985b. TES-5, western portion of the Glenwood Ranger District. Unpublished report prepared for USDA Forest Service, Southwestern Region, Albuquerque, NM. Various pages, appendices and maps.
184170	Kruczynski et al. 1978	Kruczynski, W. L., C. B. Subrahmanyam, and S. H. Drake. 1978. Studies on the plant community of a north Florida salt marsh. Bulletin of Marine Science 28:707-715.
188031	Penfound 1952	Penfound, W. T. 1952. Southern swamps and marshes. Botanical Review 7:413-446.
181542	Smith and Linnartz 1980	Smith, D. W., and N. E. Linnartz. 1980. The southern hardwood region. Pages 145-230 in: J. W. Barrett, editor. Regional silviculture of the United States. Second edition. John Wiley and Sons, New York.
193466	Van Auken and Bush 1988	Van Auken, O. W., and J. K. Bush. 1988. Dynamics of establishment, growth, and development of black willow and cottonwood in the San Antonio River forest. Texas Journal of Science 40:269-277.
181540	Buhlmann et al. 1999	Buhlmann, K. A., J. C. Mitchell, and L. R. Smith. 1999. Descriptive ecology of the Shenandoah Valley sinkhole pond system in Virginia. Banisteria 13:23-51.
200815	Fleming and Van Alstine 1999	Fleming, G. P., and N. E. Van Alstine. 1999. Plant communities and floristic features of sinkhole ponds and seepage wetlands in southeastern Augusta County, Virginia. Banisteria 13:67-94.
215520	Cooper pers. comm.	Cooper, Steve. Personal communication. Ecologist, Montana Natural Heritage Program, 1515 East Sixth Avenue, P.O. Box 201800, Helena, MT 59620-1800. 406/444-3009.
176018	Johnson 1970a	Johnson, K. L. 1970a. Alpine vegetation and soils of Mesa Seco Plateau, San Juan Mountains, Colorado. Unpublished dissertation, University of Illinois, Urbana. 217 pp.
191908	Turner and Dortignac 1954	Turner, G. T., and E. J. Dortignac. 1954. Infiltration, erosion and herbage production of some mountain grasslands in western Colorado. Journal of Forestry 52:858-860.
193464	Bonham 1966	Bonham, C. D. 1966. An ordination of alpine hairgrass (Deschampsia caespitosa Beauv.) meadows. Unpublished dissertation, Colorado State University, Fort Collins. 124 pp.
177861	Kovalchik pers. comm.	Kovalchik, Bud L. Personal communication. U.S. Forest Service riparian ecologist, retired. Colville, WA.
188431	Kauffman 1982	Kauffman, J. B. 1982. Synecological effects of cattle grazing riparian ecosystems. Unpublished thesis, Oregon State University, Corvallis. 283 pp.
469349	Marshall 1985	Marshall, J. 1985. Value assessment of Jackson-Frazier wetland, Benton County, Oregon: A case study. M.S. thesis, Oregon State University, Corvallis. 147 pp.
178198	Pittillo and Smathers 1979	Pittillo, J. D., and G. A. Smathers. 1979. Phytogeography of the Balsam Mountains and Pisgah Ridge, southern Appalachian Mountains. Pages 206-245 in: H. Lieth and E. Landolt, editors. Proceedings of the 16th International phytogeographic excursion. Veroff. Geobot. Inst., Stiftung Rubel, Zurich.
182638	White pers. comm.	White, Rickie. Personal communication. Regional Ecologist. NatureServe, Southeast Regional Office, Durham, NC.
197389	Russell 1953	Russell, N. H. 1953. The beech gaps of the Great Smoky Mountains. Ecology 34:366-374.
510002	Hall 2005a	Hall, M. E. 2005a. Classification and gradient analysis of plant communities at Short Mountain Wildlife Management Area, Hampshire County, West Virginia. M.S. thesis, Western Carolina University, Cullowhee, NC. 108 pp.
266597	Motzkin and Foster 2002	Motzkin, G., and D. R. Foster. 2002. Grasslands, heathlands and shrublands in coastal New England: Historical interpretations and approaches to conservation. Journal of Biogeography 29:1569-1590. [http://harvardforest.fas.harvard.edu/sites/harvardforest.fas.harvard.edu/files/publications/pdfs/Motzkin_JBiogeography_2002_Grasslands.pdf]
197758	Bowles and McBride 1996	Bowles, M., and J. McBride. 1996. Evaluation and classification of savanna, woodland, and barrens natural areas in northern Illinois. Morton Arboretum, Lisle, IL. 21 pp.
197356	Dansereau 1966	Dansereau, P. 1966. Studies on the vegetation of Puerto Rico. Part I. Description and integration of the plant-communities. University of Puerto Rico, Institute of Caribbean Sciences. Special Publication No. 1. Mayagüez, Puerto Rico. 287 pp.
184096	Kreiter 1995	Kreiter, S. D. 1995. Dynamics and spatial pattern of a virgin old-growth hardwood-pine forest in the Ouachita Mountains, Oklahoma, from 1896 to 1994. Unpublished M.S. thesis, University of Oklahoma, Norman.
178950	Larson 1993	Larson, G. E. 1993. Aquatic and wetland vascular plants of the northern Great Plains. General Technical Report RM-238. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO. 681 pp.
197005	Reed 1969	Reed, R. M. 1969. A study of forest vegetation in the Wind River Mountains, Wyoming. Unpublished dissertation, Washington State University, Pullman. 77 pp.
189649	Odion et al. 1992	Odion, D. C., R. M. Callaway, W. R. Ferren, and F. W. Davis. 1992. Vegetation of Fish Slough, an Owens Valley wetland ecosystem. Pages 171-196 in: C.A. Hall and B. Widawski, editors. The history of water: Eastern Sierra Nevada, Owens Valley, White-Inyo Mountains. White Mountains Research Station Symposium 4. University of California, White Mountain Research Station, Los Angeles, CA.
185114	McClain et al. 1998	McClain, W. E., V. LaGesse, R. Larimore, and J. Ebinger. 1998. Black soil prairie groves of the Headwaters region of east-central Illinois. Transactions of the Illinois Academy of Science 86:129-135.
198291	Chapman 1984	Chapman, K. A. 1984. An ecological investigation of native grassland in southern Lower Michigan. Unpublished Master's thesis, Western Michigan University, Kalamazoo. 235 pp.
671235	Gawler et al. 2017	Gawler, S. C., R. E. Zaremba, and Cogan Technology, Inc. 2017. Vegetation mapping inventory project: Minute Man National Historical Park, Massachusetts. Natural Resource Report NPS/MIMA/NRR--2017/1450. National Park Service, Fort Collins, CO.
175925	Wright et al. 1973	Wright, H. E., Jr., A. M. Bent, B. S. Hansen, and L. J. Mahar, Jr. 1973. Present and past vegetation of the Chuska Mountains, northwestern New Mexico. Geological Society of America Bulletin 84:1155-1179.
188112	Carr unpubl. data	Carr, S. No date. Unpublished data. Ph.D. research. Louisiana State University, Baton Rouge, and University of North Carolina, Chapel Hill.
178893	Nixon and Muller 1997	Nixon, K. C., and C. H. Muller. 1997. 5c. Quercus Linnaeus sect. Quercus. White oaks. Pages 471-506 in: Flora of North America Editorial Committee. Flora of North America, North of Mexico. Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.
186764	Dwyer and Pieper 1967	Dwyer, D. D., and R. D. Pieper. 1967. Fire effects on blue gramma-pinyon-juniper rangeland in New Mexico. Journal of Range Management 20:359-362.
184717	Cooper 1974	Cooper, A. S. 1974. Salt marshes. In: H. T. Odum and B. J. Copeland, editors. Coastal Ecological Systems of the United States. II. The Conservation Foundation, Washington, DC.
183585	Cooper and Severn 1992	Cooper, D. J., and C. Severn. 1992. Wetlands of the San Luis Valley, Colorado: An ecological study and analysis of the hydrologic regime, soil chemistry, vegetation and the potential effects of a water table drawdown. Report submitted to the State of Colorado Division of Wildlife, the USDI Fish & Wildlife Service and the Rio Grande Water Conservation District.
198982	Mutel and Marr 1973	Mutel, C., and J. W. Marr. 1973. A vegetative study of three montane herbaceous basins. Journal of the Colorado-Wyoming Academy of Science 7(4):28 (Abstract).
198022	Wing 1937	Wing, L. W. 1937. Evidences of ancient oak openings in southern Michigan. Ecology 18(1):170-171.
